Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
"Marin Bobcat Trail 4 27.5""",marin-bobcat-trail-4-27-5,"<p><em>Mid-Range Modern Hardtail · 27.5&quot;/29&quot;</em></p>
<p>Where the Bobcat platform hits a real sweet spot. Keeps the Series 2 aluminum frame and modern trail geometry but steps up the drivetrain to Shimano CUES 10-speed (crisp, wide-range 1x shifting), upgrades the fork, and bumps the front brake to a 180mm rotor for more stopping power. Ready for aggressive singletrack, with plenty of room for upgrades later.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 2 6061 Aluminum, 27.5&quot;/29&quot; Wheels, Low Standover, Internal Housing &amp; Dropper Routing</li>
  <li><strong>Fork:</strong> SR/Suntour XCM HLO-DS, 120mm Travel, Hydraulic Lockout</li>
  <li><strong>Rear Derailleur:</strong> Shimano CUES, 10-speed (or microSHIFT on some model years)</li>
  <li><strong>Brakes:</strong> Tektro M275 Hydraulic Disc, 180mm front / 160mm rear rotors</li>
  <li><strong>Rims:</strong> Marin Aluminum Double Wall, 25mm Inner</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 2 6061 Aluminum, 27.5&quot;/29&quot; Wheels, Low Standover, Internal Housing &amp; Dropper Routing</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>SR/Suntour XCM HLO-DS, 120mm Travel, Hydraulic Lockout</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano CUES, 10-speed (or microSHIFT on some model years)</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano CUES 1x10</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro M275 Hydraulic Disc, 180mm front / 160mm rear rotors</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Marin Aluminum Double Wall, 25mm Inner</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>MTB 27.5&quot;/29&quot; x 2.25&quot;–2.4&quot;</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 27.5"" wheels",TRUE,Active,733940001,843346114051,Size,Small,,Color,Tan,,,,,1000.00,,597.90,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_BIKES_BOBCAT_TRAIL_4_275_BLUE_SIDE_grande.png?v=1753779684,1,Marin Bobcat Trail 4 - ChainLine Cycle,,FALSE,"Marin Bobcat Trail 4 27.5"" | Marin Bicycle","Mid-Range Modern Hardtail · 27.5&quot;/29&quot; Where the Bobcat platform hits a real sweet spot. Keeps the Series 2 aluminum frame and modern trail geometry but steps up the drivetrain to Shimano CUES 10-speed (crisp, wide-range 1x shifting), upgrades the fork, and bumps the front brake to a 180mm ",beige; blue,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),733940001,,,New,FALSE,,,,,
,marin-bobcat-trail-4-27-5,,,,,,,,737527002,843346123381,,Small,,,Blue,,,,,1000.00,,675.08,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,,,,,,,,,,,,737527002,,,,,,,,,
Marin Fairfax 2,marin-fairfax-2,"<p><em>Mid-Tier Fitness Hybrid · 700C</em></p>
<p>The middle-child Fairfax is a big step up in capability. You get a Series 2 aluminum frame with internal cable routing, an aluminum straight-blade fork, a Shimano 2x8-speed drivetrain with sub-compact 46/30T gearing (true low gears for real hills), and — crucially at this price — Tektro M275 hydraulic disc brakes. Wide-volume 35mm puncture-protected Vee Zilent tires add comfort and all-weather capability. Hits the magic £1,000 / $1,000 price point and punches above its weight.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 2 Fitness, 6061 Aluminum, 700C Wheels, Disc Brake, Internal Cable Routing, Fender &amp; Rack Mounts</li>
  <li><strong>Fork:</strong> Aluminum Straight Blade, Disc Specific</li>
  <li><strong>Rear Derailleur:</strong> Shimano Acera, 8-Speed</li>
  <li><strong>Brakes:</strong> Tektro M275 Hydraulic Disc, 160mm rotors</li>
  <li><strong>Tires:</strong> Vee Tire Zilent 700C x 35mm with puncture protection</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 2 Fitness, 6061 Aluminum, 700C Wheels, Disc Brake, Internal Cable Routing, Fender &amp; Rack Mounts</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>Aluminum Straight Blade, Disc Specific</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Acera, 8-Speed</td>
    </tr>
    <tr>
      <td><strong>Front Derailleur</strong></td>
      <td>Shimano FD-TY710</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano Altus 2x8</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Forged Alloy 46/30T sub-compact</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 11-34T, 8-speed</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro M275 Hydraulic Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>Vee Tire Zilent 700C x 35mm with puncture protection</td>
    </tr>
    <tr>
      <td><strong>Saddle</strong></td>
      <td>Marin Fitness Plush</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Dual-Sport Bike,"Bike, Marin, Dual-Sport Bike",TRUE,Active,733956002,843346114549,Size,Small,,Color,Red/Black,,,,,960.00,,566.37,TRUE,,,,,,shopify,1,DENY,12500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2022_MARIN_FAIRFAX_2_MAROON_SIDE_391346d2-76af-4fa7-8e8a-4f0a68e0cf32_grande.png?v=1753872171,1,Marin Fairfax 2 - ChainLine Cycle,,FALSE,Marin Fairfax 2 | Marin Bicycle,"Mid-Tier Fitness Hybrid · 700C The middle-child Fairfax is a big step up in capability. You get a Series 2 aluminum frame with internal cable routing, an aluminum straight-blade fork, a Shimano 2x8-speed drivetrain with sub-compact 46/30T gearing (true low gears for real hills), and — crucially at t",red; black; blue; silver,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),733956002,,,New,FALSE,,,,,
,marin-fairfax-2,,,,,,,,740839003,843346136589,,Medium,,,Blue/Silver,,,,,950.00,,613.08,TRUE,,,,,,shopify,1,DENY,12500,g,TRUE,manual,,,,,,,,,,,,740839003,,,,,,,,,
Marin Gestalt X10,marin-gestalt-x10,"<p><em>Aggressive Drop-Bar Gravel / Drop-Bar MTB · 700C/650B</em></p>
<p>The Gestalt X takes Marin's Beyond Road Geometry to the next level of aggressive dirt exploration. Mountain-bike-inspired numbers — a 67.5° head angle, long wheelbase, short 50mm stem, and wide 480mm flared bar — mean it carves technical terrain like nothing else in the drop-bar world. Room for massive tires: up to 700x50mm or 650Bx54mm. Uses a wide-range 1x10 microSHIFT Advent drivetrain for simplicity, has dropper-post routing, and dual-piston Tektro mechanical discs. A true drop-bar mountain bike.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 3 Beyond Road, 6061 Aluminum, Tapered Head Tube, Relieved BB, Internal Cable Routing (incl. dropper), Mudguard &amp; Rack Mounts, Flat-Mount Disc, 142x12mm Thru-Axle</li>
  <li><strong>Fork:</strong> Marin Full Carbon w/ Tapered Steerer, 12mm Thru-Axle, Flat-Mount Disc</li>
  <li><strong>Rear Derailleur:</strong> microSHIFT Advent, 10-speed, clutched</li>
  <li><strong>Brakes:</strong> Tektro MD-C500 Mechanical Disc, 160mm rotors</li>
  <li><strong>Rims:</strong> Marin Aluminum Double Wall, 25mm Inner, Disc Specific</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 3 Beyond Road, 6061 Aluminum, Tapered Head Tube, Relieved BB, Internal Cable Routing (incl. dropper), Mudguard &amp; Rack Mounts, Flat-Mount Disc, 142x12mm Thru-Axle</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>Marin Full Carbon w/ Tapered Steerer, 12mm Thru-Axle, Flat-Mount Disc</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>microSHIFT Advent, 10-speed, clutched</td>
    </tr>
    <tr>
      <td><strong>Shifters</strong></td>
      <td>microSHIFT Advent drop-bar</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Alloy 42T narrow-wide (chain retention without external guide)</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 11-51T, 10-speed</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro MD-C500 Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Marin Aluminum Double Wall, 25mm Inner, Disc Specific</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>Vee Rocket Man or similar, 700 x 45mm</td>
    </tr>
    <tr>
      <td><strong>Handlebar / Stem</strong></td>
      <td>Marin 480mm wide 16° flared drop / 50mm stem</td>
    </tr>
    <tr>
      <td><strong>Max clearance</strong></td>
      <td>700x50mm or 650Bx54mm</td>
    </tr>
    <tr>
      <td><strong>Geometry</strong></td>
      <td>67.5° head angle (slack for gravel), dropper-post compatible</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Gravel Bike,"Bike, Marin, Gravel Bike",TRUE,Active,739818003,843346132789,Size,Large,,Color,Grey/Green,,,,,1400.00,,1290.83,TRUE,,,,,,shopify,1,DENY,10500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2023_Gestalt_X10_GalleryE_side.jpg?v=1744825311&width=1000,1,Marin Gestalt X10 - ChainLine Cycle,,FALSE,Marin Gestalt X10 | Marin Bicycle,"Aggressive Drop-Bar Gravel / Drop-Bar MTB · 700C/650B The Gestalt X takes Marin's Beyond Road Geometry to the next level of aggressive dirt exploration. Mountain-bike-inspired numbers — a 67.5° head angle, long wheelbase, short 50mm stem, and wide 480mm flared bar — mean it carves technical terrain ",gray; green,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),739818003,,,New,FALSE,,,,,
"Marin Bolinas Ridge 1 27.5""",marin-bolinas-ridge-1-27-5,"<p><em>Entry-Level Recreational Hardtail · 27.5&quot;/29&quot;</em></p>
<p>Your entry point to Marin mountain biking. Disc-specific Series 1 6061 aluminum frame, 100mm of fork travel, and real MTB tires in a lightweight, confident-handling package. The BR1 runs a Shimano Tourney 3x7 drivetrain with Power CX7 mechanical discs — rugged, fixable, and ready for trails, paths, and fire roads. Size-appropriate 27.5&quot; (S/M) or 29&quot; (M/L/XL) wheels keep fit dialed across the range.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 1 6061 Aluminum, 27.5&quot;/29&quot; Wheels (size-dependent), Low Standover, 68mm BB, 135mm Forged Dropouts, Chainstay-Mounted Disc</li>
  <li><strong>Fork:</strong> SR Suntour XCE Disc, 100mm Travel, Preload Adjustment, 46mm Offset</li>
  <li><strong>Rear Derailleur:</strong> Shimano Tourney, 7-Speed</li>
  <li><strong>Brakes:</strong> Power CX7 Mechanical Disc, 160mm rotors</li>
  <li><strong>Rims:</strong> Marin, Double Wall Alloy</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 1 6061 Aluminum, 27.5&quot;/29&quot; Wheels (size-dependent), Low Standover, 68mm BB, 135mm Forged Dropouts, Chainstay-Mounted Disc</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>SR Suntour XCE Disc, 100mm Travel, Preload Adjustment, 46mm Offset</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Tourney, 7-Speed</td>
    </tr>
    <tr>
      <td><strong>Front Derailleur</strong></td>
      <td>Shimano FD-TX500</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano Tourney 3x7</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Shimano FC-TY301, 42/34/24T triple</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 7-Speed, 11-34T</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Power CX7 Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>MTB 27.5&quot;/29&quot; x 2.25&quot;</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Marin, Double Wall Alloy</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 27.5"" wheels",TRUE,Active,737533001,843346123183,Size,Extra Small,,Color,Green,,,,,760.00,,454.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_BIKES_BOLINAS_RIDGE_1_27_CHARCOAL_SIDE_grande.png?v=1755782077,1,Marin Bolinas Ridge 1 - ChainLine Cycle,,FALSE,"Marin Bolinas Ridge 1 27.5"" | Marin Bicycle","Entry-Level Recreational Hardtail · 27.5&quot;/29&quot; Your entry point to Marin mountain biking. Disc-specific Series 1 6061 aluminum frame, 100mm of fork travel, and real MTB tires in a lightweight, confident-handling package. The BR1 runs a Shimano Tourney 3x7 drivetrain with Power CX7 mechanica",green,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),737533001,,,New,FALSE,,,,,
,marin-bolinas-ridge-1-27-5,,,,,,,,737533002,843346123206,,Small,,,Green,,,,,760.00,,454.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,,,,,,,,,,,,737533002,,,,,,,,,
"Marin Bolinas Ridge 1 29""",marin-bolinas-ridge-1-29,"<p><em>Entry-Level Recreational Hardtail · 27.5&quot;/29&quot;</em></p>
<p>Your entry point to Marin mountain biking. Disc-specific Series 1 6061 aluminum frame, 100mm of fork travel, and real MTB tires in a lightweight, confident-handling package. The BR1 runs a Shimano Tourney 3x7 drivetrain with Power CX7 mechanical discs — rugged, fixable, and ready for trails, paths, and fire roads. Size-appropriate 27.5&quot; (S/M) or 29&quot; (M/L/XL) wheels keep fit dialed across the range.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 1 6061 Aluminum, 27.5&quot;/29&quot; Wheels (size-dependent), Low Standover, 68mm BB, 135mm Forged Dropouts, Chainstay-Mounted Disc</li>
  <li><strong>Fork:</strong> SR Suntour XCE Disc, 100mm Travel, Preload Adjustment, 46mm Offset</li>
  <li><strong>Rear Derailleur:</strong> Shimano Tourney, 7-Speed</li>
  <li><strong>Brakes:</strong> Power CX7 Mechanical Disc, 160mm rotors</li>
  <li><strong>Rims:</strong> Marin, Double Wall Alloy</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 1 6061 Aluminum, 27.5&quot;/29&quot; Wheels (size-dependent), Low Standover, 68mm BB, 135mm Forged Dropouts, Chainstay-Mounted Disc</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>SR Suntour XCE Disc, 100mm Travel, Preload Adjustment, 46mm Offset</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Tourney, 7-Speed</td>
    </tr>
    <tr>
      <td><strong>Front Derailleur</strong></td>
      <td>Shimano FD-TX500</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano Tourney 3x7</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Shimano FC-TY301, 42/34/24T triple</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 7-Speed, 11-34T</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Power CX7 Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>MTB 27.5&quot;/29&quot; x 2.25&quot;</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Marin, Double Wall Alloy</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 29"" wheels",TRUE,Active,737535001,843346126245,Size,Medium,,Color,Green,,,,,760.00,,454.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_BIKES_BOLINAS_RIDGE_1_27_CHARCOAL_SIDE_grande.png?v=1755782077,1,Marin Bolinas Ridge 1 - ChainLine Cycle,,FALSE,"Marin Bolinas Ridge 1 29"" | Marin Bicycle","Entry-Level Recreational Hardtail · 27.5&quot;/29&quot; Your entry point to Marin mountain biking. Disc-specific Series 1 6061 aluminum frame, 100mm of fork travel, and real MTB tires in a lightweight, confident-handling package. The BR1 runs a Shimano Tourney 3x7 drivetrain with Power CX7 mechanica",green,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),737535001,,,New,FALSE,,,,,
"Marin Bobcat Trail 3 29""",marin-bobcat-trail-3-29,"<p><em>Entry-Level Modern Hardtail · 27.5&quot;/29&quot;</em></p>
<p>The most affordable Bobcat, creating the biggest smiles for the fewest dollars. A Series 2 aluminum frame with genuinely modern trail geometry (low standover, internal dropper routing, slackish head angle), an SR/Suntour XCM HLO fork with 120mm travel and hydraulic lockout, a wide-range microSHIFT Advent 9-speed drivetrain, and Tektro hydraulic disc brakes. A great gateway to real mountain biking.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 2 6061 Aluminum, 27.5&quot;/29&quot; Wheels, Low Standover, 68mm BB, 135mm Forged Dropouts, Internal Housing &amp; Dropper Post Routing</li>
  <li><strong>Fork:</strong> SR/Suntour XCM HLO, 120mm Travel, Hydraulic Lockout, 46mm Offset</li>
  <li><strong>Rear Derailleur:</strong> microSHIFT Advent, 9-speed</li>
  <li><strong>Brakes:</strong> Tektro M275 Hydraulic Disc, 160mm rotors (F/R)</li>
  <li><strong>Rims:</strong> Marin Aluminum Double Wall, 25mm Inner, Pinned Joint</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 2 6061 Aluminum, 27.5&quot;/29&quot; Wheels, Low Standover, 68mm BB, 135mm Forged Dropouts, Internal Housing &amp; Dropper Post Routing</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>SR/Suntour XCM HLO, 120mm Travel, Hydraulic Lockout, 46mm Offset</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>microSHIFT Advent, 9-speed</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Alloy with steel narrow-wide chainring</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>9-speed wide-range (approx. 11-46T)</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro M275 Hydraulic Disc, 160mm rotors (F/R)</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Marin Aluminum Double Wall, 25mm Inner, Pinned Joint</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>MTB 27.5&quot;/29&quot; x 2.25&quot;</td>
    </tr>
    <tr>
      <td><strong>Dropper-ready</strong></td>
      <td>Internal dropper post routing</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 29"" wheels",TRUE,Active,737683001,843346126405,Size,Medium,,Color,Red/Grey,,,,,960.00,,576.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_BIKES_BOBCAT_TRAIL_3_29_RED_GRAY_SIDE_grande.png?v=1753779938,1,Marin Bobcat Trail 3 - ChainLine Cycle,,FALSE,"Marin Bobcat Trail 3 29"" | Marin Bicycle","Entry-Level Modern Hardtail · 27.5&quot;/29&quot; The most affordable Bobcat, creating the biggest smiles for the fewest dollars. A Series 2 aluminum frame with genuinely modern trail geometry (low standover, internal dropper routing, slackish head angle), an SR/Suntour XCM HLO fork with 120mm trave",red; gray,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),737683001,,,New,FALSE,,,,,
,marin-bobcat-trail-3-29,,,,,,,,737683002,843346126429,,Large,,,Red/Grey,,,,,960.00,,576.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,,,,,,,,,,,,737683002,,,,,,,,,
